"食物
（每100克）","能量
（kal）","蛋白质
（克）","糖类
（克）","脂肪
（克）","水分
（克）","纤维
（克）","灰份
（克）","VA
（微克）","胡萝卜素
（微克）","视黄醇当量
（微克）","VB1
（毫克）","VB2
（毫克）","烟酸
（毫克）","VC
（毫克）","VE
（毫克）","钾
（毫克）","钠
（毫克）","钙
（毫克）","镁
（毫克）","铁
（毫克）","锰
（毫克）","锌
（毫克）","铜
（毫克）","磷
（毫克）","硒
（微克）"
奶酷干,426,55.1,17.7,15,8.9,0,3.3,0,0,0,0.05,0.24,0.8,2,0,314,79.3,730,49,18.7,0.22,5.24,2.23,689,14.68
奶酪,328,25.7,3.5,23.5,43.5,0,3.8,152,0,152,0.06,0.91,0.6,0,0.6,75,584.6,799,57,2.4,0.13,6.97,0.13,326,1.5
奶皮子,460,12.2,6.3,42.9,36.9,0,1.7,0,0,0,0.02,0.23,0.2,0,0,4,2.3,818,28,1.3,0.2,2.22,0.1,308,4.6
奶片,472,13.3,59.3,20.2,3.7,0,3.5,75,0,75,0.05,0.2,1.6,5,0.05,356,179.7,269,32,1.6,0,3,0.06,427,12.1
奶柿子,13,0.6,2.4,0.1,95.6,0.8,0.5,0,530,88,0.05,0.02,1,8,1.19,163,0,15,9,0.4,0.06,0.14,0.45,2,0.12
奶糖,407,2.5,84.5,6.6,5.6,0,0.8,0,0,0,0.08,0.17,0.6,0,0,75,222.5,50,20,3.4,0.09,0.29,0.14,26,0.94
奶油,720,2.5,0.7,78.6,18,0,0.2,1042,0,1042,0,0.05,0.1,0,66.01,2,29.6,1,0,0.7,0,0.12,0,0,1.8
奶油(焦克),447,3.6,0,48.3,48.1,0,0.6,0,0,0,0.05,0.16,0.2,0,0,138,41.1,202,10,1,0.1,0.32,0.02,82,5.5
奶油(食用工业),503,1.1,0,55.5,43.4,0,0.3,345,0,345,0.01,0.16,0.1,0,2.19,1046,190.8,20,2,0.1,0.83,1.1,0.03,32,0.94
南瓜,24,0.4,5.7,0,93,0.5,0.4,0,100,17,0.05,0.08,0.7,17,0,182,1.6,12,10,0.4,0,0.26,0.08,13,0.37
南瓜果脯,336,0.9,82.6,0.2,15.4,0.7,0.2,0,0,0,0.01,0,0,7,0,5,16.4,176,15,0,0.09,0.12,10.36,15,7.83
南瓜子(炒),574,36,3.8,46.1,4.1,4.1,5.9,0,0,0,0.08,0.16,3.3,0,27.28,672,15.8,37,376,6.5,3.85,7.12,1.44,0,27.03
南瓜子仁,566,33.2,0,48.1,9.2,4.9,4.6,0,0,0,0.23,0.09,1.8,0,13.25,102,20.6,16,2,1.5,0.64,2.57,1.11,1159,2.78
脑豆,360,23.4,58.1,3.8,10.7,1.5,2.5,0,0,0,0.35,0.28,2.9,0,19.21,686,12,327,171,7.7,2.05,2.45,1.14,354,7.34
嫩黄瓜,32,1.7,5.6,0.3,81.3,1.8,9.3,0,0,0,0.03,0.03,0.3,7,0.21,220,3087.1,44,33,3.1,0.24,0.55,0.29,21,1.57
泥蚶,71,10,6,0.8,81.8,0,1.4,6,0,6,0.01,0.07,1.1,0.28,0.28,207,354.9,59,84,11.4,1.25,0.33,0.11,103,41.42
泥鳅,96,17.9,1.7,2,76.6,0,1.8,14,0,14,0.1,0.33,6.2,0,0.79,282,74.8,299,28,2.9,0.47,2.76,0.09,302,35.3
年糕,154,3.3,33.9,0.6,60.9,0.8,0.5,0,0,0,0.03,0,0,0,1.15,81,56.4,31,43,1.6,0.38,1.36,0.14,52,2.3
鲇鱼,102,17.3,0,3.7,78,0,1.1,0,0,0,0.03,0.1,2.5,0,0.54,351,49.6,42,22,2.1,0.03,0.53,0.09,195,27.49
酿皮子,132,1.6,19.9,5.1,71.6,0.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宁河大曲,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
宁河二曲,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柠檬,35,1.1,4.9,1.2,91,1.3,0.5,0,0,0,0.05,0.02,0.6,22,1.14,209,1.1,101,37,0.8,0.05,0.65,0.14,22,0.5
柠檬汁,26,0.9,5.2,0.2,93.1,0.3,0.3,0,0,0,0.01,0.02,0.1,11,0,120,1.2,24,12,0.1,0.06,0.09,0.04,0,4.15
牛大肠,66,11,0.4,2.3,85.9,0,0.4,0,0,0,0.03,0.08,1.2,0,0,55,28,12,0,2,0,1.05,0.03,102,10.94
牛肚,72,14.5,0,1.6,83.4,0,0.6,2,0,2,0.03,0.13,2.5,0,0.51,162,60.6,40,17,1.8,0.21,2.31,0.07,104,9.07
牛肺,94,16.5,1.5,2.5,78.6,0,0.9,12,0,12,0.04,0.21,3.4,13,0.34,197,154.8,8,14,11.7,0.16,2.67,0.22,269,13.61
牛肝,139,19.8,6.2,3.9,68.7,0,1.4,20220,0,20220,0.16,1.3,11.9,9,0.13,185,45,4,22,6.6,0.37,5.01,1.34,252,11.99
牛脑,149,12.5,0.1,11,75.1,0,1.3,0,0,0,0.15,0.25,4,0,0,300,185.6,583,20,4.7,0.08,4.69,0.28,435,20.34
牛肉(冻),106,20.2,1.2,2.3,75.2,0,1.1,6,0,6,0.07,0.13,6.3,0,0.35,284,53.6,9,21,2.8,0.04,3.71,0.16,172,10.55
牛肉(肥),190,18.1,0,13.4,68.1,0,1.1,9,0,9,0.03,0.11,7.4,0,0.22,211,57.4,8,25,3.2,0.03,3.67,0.13,143,19.81
"牛肉(肥,瘦)",190,18.1,0,13.4,68.1,0,1.1,9,0,9,0.03,0.11,7.4,0,0.22,211,57.4,8,25,3.2,0.03,3.67,0.13,143,19.81
牛肉(腑肋),123,18.6,0,5.4,75.1,0,1,7,0,7,0.06,0.13,3.1,0,0.37,217,66.6,19,14,2.7,0.06,4.05,0.07,120,2.35
牛肉(后腱),93,18,1.1,1.8,78.1,0,1,3,0,3,0.02,0.18,3.7,0,0.74,218,70.6,6,13,2.3,0,2.42,0.09,163,2.58
牛肉(后腿),98,19.8,0.1,2,77.1,0,1,2,0,2,0.02,0.18,5.7,0,0.81,236,30.6,7,15,2.1,0,1.22,0.11,194,5.09
牛肉(前腱),100,18.4,1.8,2.1,76.6,0,1.1,2,0,2,0.02,0.18,4.1,0,0.42,223,61.2,6,17,3,0,2.36,0.1,161,6.26
牛肉(前腿),95,15.7,2.7,2.4,78,0,1.2,2,0,2,0.02,0.19,3.9,0,0.71,217,54.6,7,14,1.6,0.08,2.07,0.11,160,2.54
牛肉(瘦),106,20.2,1.2,2.3,75.2,0,1.1,6,0,6,0.07,0.13,6.3,0,0.35,284,53.6,9,21,2.8,0.04,3.71,0.16,172,10.55
牛肉(腿),106,20.2,1.2,2.3,75.2,0,1.1,6,0,6,0.07,0.13,6.3,0,0.35,284,53.6,9,21,2.8,0.04,3.71,0.16,172,10.55
牛肉干,550,45.6,1.9,40,9.3,0,3.2,0,0,0,0.06,0.26,15.2,0,0,510,412.4,43,107,15.6,0.19,7.26,0.29,464,9.8
牛肉松,445,8.2,67.7,15.7,2.7,0,5.7,90,0,90,0.04,0.11,0.9,0,18.24,128,1945.7,76,52,4.6,0.83,0.55,0.05,74,2.68
牛乳,54,3,3.4,3.2,89.8,0,0.6,24,0,24,0.03,0.14,0.1,1,0.21,109,37.2,104,11,0.3,0.03,0.42,0.02,73,1.94
牛乳(高蛋白奶),51,2.7,5.6,2,89,0,0.7,66,0,66,0.02,0.08,0.1,3,0,130,42.6,140,14,0.2,0.03,0.38,0.04,60,1.36
牛乳(罐头),59,2.9,4.6,3.2,88.6,0,0.7,9,0,9,0.13,0.18,0,1,0,127,40.2,108,19,0.1,0.01,0.33,0.14,68,2.38
牛乳(牦牛乳),112,2.7,17.9,3.3,75.3,0,0.8,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牛乳(美国牛),59,2.9,4.6,3.2,88.6,0,0.7,9,0,9,0.13,0.18,0,1,0,127,40.2,108,19,0.1,0.01,0.33,0.14,68,2.38
牛乳(强化VA,51,2.7,5.6,2,89,0,0.7,66,0,66,0.02,0.08,0.1,3,0,130,42.6,140,14,0.2,0.03,0.38,0.04,60,1.36
牛乳(酸),54,3,3.4,3.2,89.8,0,0.6,24,0,24,0.03,0.14,0.1,1,0.21,109,37.2,104,11,0.3,0.03,0.42,0.02,73,1.94
牛乳(西德牛),60,3.1,5.1,3,88.1,0,0.7,13,0,13,0.12,0.16,0,0,0,120,45.8,114,19,0.1,0.01,0.38,0.16,87,2.5
